Sleepless in Seattle

 SAM	Mommy got sick and it happened  just like that and there was  nothing anybody would do.
 SAM	 If we start asking why we'll gocrazy.  So, rule number one. We don't ask why.
 ANNIE	 Why? I just want to know why?That's my first rule.  I alwaysask why.  Come on.  Tell me. C'mon, c'mon, c'mon --
 SETH	 There's no why, Annie.  I'mjust not up for it.  I neversaid I was.
 ANNIE	 Is there somebody else?
 SETH	 Nope.
 ANNIE	 You don't love me, is that it?
 SETH	 Nope.
 ANNIE	 How about ... you're toonarcissistic to commit toanother human being in a long-  term way.
 SETH	 That's good.
 SUZY	 Five minutes in the microwave. Any one of them, five minutesand done.  Ready to eat.  Doyou know how to make juice?
 SAM	 Microwave.  Five minutes.
 ANNIE	 You take the microwave?
 SETH	 What am I going to do with amicrowave?
 ANNIE	 You turn it on, you open it andyou stand in front of it for avery long time.
 SETH	 So you're angry.  Big deal.
 ROB	 Young man, it's none of mybusiness, but maybe you shouldtalk to someone.  I myselfhave consulted a professional. I used to be up tight.
 SAM	 Hypnotherapy...Shiatu Massage...  Loss of Spouse support groups...  Single parent discussion nights...  Parents without partners.  Partners without parents. People who need people.  Guyswho go into the woods, beatdrums and bond.  Get a shrink. Hug a friend.  Hug yourself.
 SAM	 Don't mind him.  He's the guywho just lost his wife.  What I really think is we needa change.
 ROB	 Good idea.  Take a few weeksoff, get some sun, take Jonahfishing --
 SAM	 A real change.  New city. Someplace where every time I goaround a corner I don't thinkof Maggie.
 ROB	 Where you going to go?
 SAM	 I was thinking about Seattle.
 LAURIE	 Honey, he wasn't right for you.
 ANNIE	 I know.
 LAURIE	 He wasn't even wrong for you,like cosmically wrong, so don'tbeat up on yourself forwasting...however long it was.
 ANNIE	 I know.
 LAURIE	 Maybe you should see a shrink.
 LAURIE	 Go home for the weekend.
 ANNIE	 That's what I'm going to do. I'm going to go home.  I quit.  Laurie, I quit.  I'mgoing back to Baltimore.  How does a blonde do a high-  five?
 JONAH	 Dad says I'm going to get usedto it, but I don't think youcan ever get used to adesignated hitter.
 SUZY	 Eventually, in a few months,you'll start seeing women,you'll meet someone.
 SAM	 Move on.  Right.  That's whatI'm going to do.  In a fewmonths, boom, I'll be fine,I'll just grow a new heart.
 SUZY	 I'm sorry --
 GREG	 Sam, she didn't mean --
 SAM	 I know, I know.  Look, it doesn't happen twice.
 ANNIE	 I'm going to meet someone,someone nice and stable whowears a hat so he won't catch acold, and I'm going to marryhim and have three childrenand live happily ever after. I mean, I am not cut out for this
 DIANE	 For what?
 ANNIE	 For life as we know it.
 LAURIE	 Just make sure he isn't fatlike my Michael or you'll spendyour whole life worrying he'sgoing to drop dead.
 JUDITH	 God, you guys are so romantic.
 ANNIE	 Do you know how long romancelasts?  That long.
 DIANE	 Steven still brings me flowersevery Friday and we've beenmarried 10 years.
 LAURIE	 Honey, nobody wants to hearthat.  Here, darling, have some TicTacs.
 ANNIE	 The next time you see me I amgoing to be incredibly happy.
 SAM	 I'm your dad.  Don't everforget that.  That's rulenumber two.  It's you and me, kid.
 ANNIE	 I guess it's just us.
 WALTER	 The short one with black hairis your cousin Irene --
 ANNIE	 -- who's married to --
 WALTER	 Harold, who ran away with hissecretary but came back --
 ANNIE	 -- because Irene threatened toput the dog to sleep if hedidn't --
 WALTER	 And your brother Tom is apsychology professor and ismarried to...Betsy --
 ANNIE	 -- who is the most competitivewoman in the world --
 WALTER	 Your Uncle Milton lost all hismoney in a Puerto Ricancondominium that went belly up,don't mention the IRS or theFederal prison system.  Yourmother is Barbara, your fatheris Cliff --
 ANNIE	 I hope he doesn't get out hisslides.
 WALTER	 Am I what they had in mind?
 ANNIE	 They're going to love you.
 BARBARA	 Everybody! Annie has an announcement --
 ANNIE	 Walter and I are engaged!
 IRENE	 That's wonderful, Annie.  Ihope it lasts... for yearsand years.
 BETSY	 Do you have a ring?
 ANNIE	 No.  Not yet.
 BETSY	 Oh.  Well.  How will anyoneknow?
 TOM	 Because you're going to callthem all and tell them. Congratulations, Walter.
 CLIFF	 Are you all right?
 WALTER	 It's nothing.  Nothing.
 ANNIE	 It's probably just the flowers --
 BARBARA	 We'll move them --
 WALTER	 Don't touch them.  I feelterrible sneezing at a timelike this.  This is a bigmoment for me --
 ANNIE	 He's allergic to everything,don't worry about it --
 HAROLD	 Bees.  I'm allergic to bees.
 CLIFF	 Not salmon I hope --
 ANNIE	 If he eats one tiny piece of anut --
 WALTER	 My head swells up like awatermelon and I drop dead.
 IRENE	 It's the same with Harold andbees.
 CLIFF	 Your mother and I had salmon atour wedding, and I really thinka wedding without cold salmon --
 WALTER	 I'm not allergic to salmon.  Idon't think.  But you neverknow.
 HAROLD	 You never know.
 BARBARA	 Oh, honey, I feel terrible, weused up this magnum ofchampagne we were saving onsomething else, what did we useit for?
 TOM	 Uncle Milton's parole --
 BARBARA	 Right.
 UNCLE MILTON	 And it was delicious.
