Prestige, The

STAGEHAND	Where'd you think you're going?!
BEARDED MAN	I'm part of the act, you fool!
CUTTER	Who was that?
CUTTER	Because of course, you're not really looking...
PROSECUTOR	And did Robert Angier, the Great Danton, your employer, get to that final part of his trick that night?
CUTTER	No, sir. Something went wrong.
PROSECUTOR	What went wrong?
CUTTER	I saw a someone head below the stage... I followed... and I found
BORDEN-
CUTTER	-watching Mr. Angier drown in a tank.
PROSECUTOR	Would you describe your occupation to the jury please, Mr.Cutter?
CUTTER	I'm an ingeneur. I design illusions and construct the apparatus necessary for perfoming them.
PROSECUTOR	And for how long had you been Mr.Angier's "ingeneur"?
CUTTER	Eight years. I was privvy to the secrets of his entire act.
PROSECUTOR	So, Mr.Cutter, was this water-filled tank beneath the stage part of Mr.Angier's illusion- the illusion billed as "THE REAL TRANSPORTED MAN"?
CUTTER	No, sir. The tank had been used for the first trick, then taken offstage. Borden must have put it under the trap door after the interval.
DEFENDER	How large was this tank?
CUTTER	The sort of tank used for underwater escapes- four or five hundred gallons.
DEFENDER	How do you think Mr.Borden was able to move the tank under the trap door without anyone noticing?
CUTTER	Ask him- he's the magician.
DEFENDER	I ask again that this man explain the mechanics of Mr.Angier's illusion.
CUTTER	If I reveal my magician's secrets here in open court, I'll be unemployable and the secrets will be worthless. The Real Transported Man is the most sought-after illusion in the business and I have te right to sell it on.
JUDGE	Mr.Cutter, I see your predicament but we are talking about a capital offence- Alfred Borden's life hangs in the balance.
JUDGE	If you were prepared to disclose the details to me in private, I might be able to judge their relevance to the case. Might this be an acceptable compromisse?
CAPTAIN	I'm going to have to ask you to turn out your pockets.
CAPTAIN	Not my idea, sir. The Warden saw his show in Manchester last year where he vanished into thin air- he's convinced he'll try an escape.
CAPTAIN	I told him the only way Borden's going to disappear is if I leave him out with the others immates.
CAPTAIN	Check the locks. Twice.
OWENS	My name is Owens- I'm a solicitor.
OWENS	I represent Lord Caldlow, and accomplished amateur magician and historian of magic-
BORDEN	How much?
OWENS	Lord Caldlow is interested in-
BORDEN	How much for my tricks?
OWENS	Five thousand pounds.
BORDEN	Talk to Fallon, my ingenuer- the money's for him.
OWENS	I did. He offered to sell all of your tricks... except the most valuable one - The Transported Man.
BORDEN	I'd never forgive myself for selling my greatest trick.
OWENS	Even for your daughter?
OWENS	If the newspapers are right, and you're for the drop, your daughter's going to need looking after
BORDEN	Fallon can take care of-
OWENS	Bernard Fallon? A man with a past even more obscure than your own? The court have already motioned to have the girl removed from his "care". No, the girl is to be an orphan. I've been to the work house...
OWENS	It's better than this.
OWENS	I'm offering you a way to warp up your affairs with dignity, and I'm offering your daughter a future. As Lord Caldlow's ward she will want for nothing. Ever. (hands him a card) Think it over.
OWENS	Lord Caldlow wanted you to have this- (produces a leather
BOUND JOURNAL)	As a show of good faith. He thought it might be of interest.
OWENS	Robert Angier's diary... It includes the time he spent in Colorado learning your trick...
BORDEN	Angier never learned my trick.
OWENS	Really? When he returned from Colorado he mounted a version of the Transported Man that the papers said was better, even... Than your original.
BORDEN	If you want Angier's secret you can dig him up and ask him for yourself.
OWENS	I want your secret, Mr.Borden... Consider your daughter!
ANGIER	The whole town has electricity?
ANGIER	Quit a reception.
MANAGER	You're our first guest of the season, Mr.Angier. (opens guest book) Your telegram didn't indicate how long you would be staying with us.
ANGIER	As long as it takes. I'll need a coach tomorrow to take me up the mountain.
MANAGER	The peak is closed, sit. For scientific experimentation.
ANGIER	That's why I'm here.
DRIVER	You have to walk the reat, I'm afraid, sir.
SHOTGUN	I'm amazed at how many of you newspaper writers can't read mu sign.
ANGIER	Not the welcome I was expecting.
