How to Lose Friends & Alienate People

REVERSE	A YOUNG BOY sits watching the film, his clothes and the room around him telling us this is England in the 1960s. He is staring raptly at the actress.
SLOW-MOTION	We are CLOSE on an extremely handsome YOUNG MAN staring past us with a dazzling smile.
SIDNEY	Those people all around me - they're all famous. They're my friends. Beside him sits a beautiful young woman - SOPHIE MAES (20's).
SIDNEY	My life didn't used to be like this. We PUSH THROUGH the EXIT DOORS and find ourselves impossibly looking at...
SIDNEY	I used to pretend it was different for me because I was getting paid by a magazine or newspaper, whatever. But that's, you know...I just loved watching Them. I'd stand outside looking in through the window and think what it would be like to somehow get inside. But there was only one way to get past the thin red line that separates the celebrities from the civilians. You had to be famous.
PR WOMAN	Babe?
SIDNEY	Babe Three. Yeah. She looks doubtfully at the pig.
PR WOMAN	Babe was a cute little piglet.
SIDNEY	Harry Potter used to be a cute little piglet too. What do you want? Tempus Fugits...
PR WOMAN	He hasn't got any ID.
SIDNEY	How many pigs are coming tonight? Look, I was told to bring him, hand him over to the producer, Bob Milton, inside. You want me  to leave him here with you, that's fine...
PR WOMAN	No, you can't leave him with me. I've got...Hold on, I'll... She looks around, helplessly. She begins to unhook the red rope. Sidney tries to hide his excitement. Well, well, Sidney Young.
SIDNEY	Well, well...clipboard Nazi-type woman. She turns to the SECURITY standing beside them.
SIDNEY	What about me?
SIDNEY	How much? I only want to stay for one night!
SIDNEY	I want you in bed by ten. And no porn. He tosses the pig one of the canap�s.
LATER	...as Sidney emerges from the washrooms, now dressed only in the white shirt and black trousers. He scoops up a passing glass of champagne, checks his moustache and surveys the courtyard - a room full of glamour: tanned skin, diamonds, beautiful dresses, beautiful suits, champagne. He stands surveying the crowd of A-list celebrities in front of him, dazed.
SIDNEY	You can do this. You belong here. You're a star. You're a big, bright shining star...
SIDNEY	No, when I'm in L.A. I stay at the Sunset Marquis, when I'm here I always stay at the Sanderson. It's, you know, I don't feel at home these days unless I'm in a hotel.
HOLLYWOOD ACTRESS	So what do you do?
SIDNEY	Oh, I'm a writer. Movie writer.
HOLLYWOOD ACTRESS	Oh great.
SIDNEY	Yeah. Got one in pre-production now. You know it's really weird running into you like this because just the other day I was telling the producer I thought you'd be perfect for the lead. She starts to laugh.
SIDNEY	No, seriously, you would, because, you know, you have this mixture of intelligence and beauty and fragility that we're looking for and, uh...
HOLLYWOOD ACTRESS	What's the film?
SIDNEY	Tits of Fury. She laughs.
SIDNEY	I'm joking, I'm just...It's a bio- pic. About Greta Garbo. That's why I thought of you. You have those amazing cheek-bones and...are they real? Have you had plastic surgery?
HOLLYWOOD ACTRESS	No. Have you?
SIDNEY	Me? No, hardly anything. A penis reduction as a child, that's pretty much... She laughs again, snorting into her drink. Sidney can't believe this - she likes him!
HOLLYWOOD ACTRESS	Oh god, I'm drunk.
SIDNEY	Are you?
HOLLYWOOD ACTRESS	I'm so drunk. I haven't eaten and...
SIDNEY	You feel okay? Because my room's just upstairs if you want to lie down or, or loosen any, you know, morals or...
HOLLYWOOD ACTRESS	What is your name again?
SIDNEY	Clark. Clark Baxter.
SIDNEY	How'd you do?
SIDNEY	Oh, shit... Sarah, get security! Code Red. Sidney Young got in!
HOLLYWOOD ACTRESS	Who's Sidney Young?
SIDNEY	Oh, shit!
SIDNEY	Will you get that? (Beat) Will you get the phone? Sighing he gets up and scratching himself, stumbles through to...
