Larry Crowne

AVERY	Sweatpants! Two pair! $6.69!
TEAM LEADER #1	Fifteen foot jumper cables - 69 cents a foot!
TEAM LEADER #2	Chocolate turtles! 69 cents a pound bag!
LARRY CROWNE	Three-pack of men's elastic waist mid-thigh boxer shorts! $2.69!
TEAM LEADER #3	MP3 Player the size of a bottle cap! Something and 69 cents!
TEAM LEADER #4	Duck Blind print sheets for a queen size bed. $7.69.
ALL	Shop UniMart! Where United, you save!
MOMMY	Too much mac & cheese for this little pickle bug!
LARRY CROWNE	They do love the comfort food. Don't you, Li'l Pickle Bug...
LARRY CROWNE	Buddy. Park there and you'll get a ticket.
PIZZA KID	Call a cop, doof. I'm gone in sixty seconds. (a dozen pizza boxes) You guys having a party?
STRANG	Finally. Dotty G. and her forty-two- K a year are history. Who else would do us that favor?
ANDREWS	Wish they'd all sail off like her. Save us some grief.
STRANG	The "R" Bomb is going to do some collateral damage to this place.
HURLEY	"R-Bomb"? Oh my god! Restructuring?
COX	Separating the chaff from the wheat. Chaff is the bad stuff, right?
HURLEY	Chaff is the waste matter, correct. When are we restructuring?
COX	Before E.O.Q. Them's our orders.
STRANG	What say we drop a brick in the pond to warn the herd?
ANDREWS	How?
STRANG	Firing someone.
COX	Someone they'd never expect to be let go. To look fair. I like it.
STRANG	Like a Team Leader.
HURLEY	Team Leader?
STRANG
COX	Suggestions on who it should be?
STRANG	I say Crowne.
HURLEY	Larry Crowne?
STRANG	Who else? Avery won't retire. We fire him, it's a law suit.
STRANG	Alvarez is about to drop a kid. She'll go part time in a week.
STRANG	Crowne's pink slip will save 'da "U" big green backwash.
COX	What Salary Tier is Crowne at?
ANDREWS	Top of the pyramid with a C.O.L. bump at the first of the year.
COX	Sweet. We'll need Actionable Cause, of course.
COX	How's his review record?
HURLEY	He's a candidate for Employee of the Month. His 22nd time.
COX	Okay. So. Sluggers, gimme a reason...
HURLEY	We could use the Limited Horizons strategy. Larry will always be passed over for Management. He never went to college.
COX	You're that familiar with his record?
STRANG	She was his squeeze for a few weeks, weren't you, Vick?
HURLEY	That was before the New Employee Covenants. That you even remember...
STRANG	The memory haunts me.
ANDREWS	He'll sock us for severance.
STRANG	Big brick in the pond, though.
COX	Let's call it. Today, end of shift, UniMart bids Crowne adieu.
VASQUEZ	LC Why still here?
LARRY CROWNE	Team Leaders zone departments before punching out. It's policy.
VASQUEZ	I mean here here. You just got paged to Meeting Room 2.
LARRY CROWNE	Probably to clean up after the party.
VASQUEZ	Isn't it Employee of the Month Day?
LARRY CROWNE	Speck-tack-alar.
VASQUEZ	You're the only one around here who deserves it. How many will this be?
LARRY CROWNE	Ah, who's counting?
LARRY CROWNE	Remember how we saw "The UniMart Way" video, Vick? You and me, alone in this room, and look at us now.
STRANG	Cubby. Make tracks.
LARRY CROWNE	I think I know what this is about.
STRANG	I don't think you do.
COX	Crowne. At UniMart, we care. So we take care. Which makes moments like these tough for all of us.
LARRY CROWNE	Sounds like you're firing me.
STRANG	I take it back.
COX	Corporate has mandated a restructuring in all UniMart stores. That's the word they use. I call it a pain in the touchas. It is touchas, right? Where you get kicked?
HURLEY	Yeah. A yiddish word.
ANDREWS	Like the buttocks.
HURLEY	Touchas and buttocks. Synonymous.
COX	Hurts to get kicked back there, no matter what language you speak.
LARRY CROWNE	UniMart is firing me...
STRANG	Crowne-ie, you did a heck of a job.
LARRY CROWNE	Why me?
ANDREWS	Who do you suggest? Alvarez? Avery? I don't think so.
LARRY CROWNE	Why not Strang?
HURLEY	Seniority would preclude this reality, Larry, but UniMart's policy is to never limit your horizons.
COX	Here's the prob: your lack of a graduate degree will forever retard any move up the management ladder.
STRANG	Becasue you never went to college you're forever retarded.
LARRY CROWNE	I won't make the Front Office?
STRANG	Never. (shows his college ring) S. M. U. Class of '86! Go 'Stangs!
LARRY CROWNE	I went in the Navy. Right outta high school. Five years, and by then...
COX	Thank you for your service to our country, Larry. And, in total seriousness to UniMart too
LARRY CROWNE	I thought I was Employee of the Month.
STRANG	In a way, you are.
LARRY CROWNE	No. No. No. No. No. No. No. No. No. No. No. No. I'm going to lose my house...
COX	The timing on this is always a bitch.
LARRY CROWNE	Guys. Guys. Guys. Guys. Guys. Guys. Guys. Guys. We can fix this. Can't we fix this?
COX	Really wish we could. Vick? The generous severance package?
HURLEY	Sign here. Here. Here. Initial that. Sign here. One more. Done.
VASQUEZ	12 jerks I'd fire before you. May walk away from UniMart myself.
LARRY CROWNE	Stick it out. You go to college?
VASQUEZ	Couple years. Then I blew out my
KNEE
LARRY CROWNE	Thanks for seeing me off.
VASQUEZ	I need your apron, man. Your apron. Says UniMart on it, so it ain't yours.
VASQUEZ	Thanks. Goofy car, man.
RECORDED VOICE	at RiverBank..."
LARRY CROWNE	I was holding for Barry Raphael in Home and Real Estate?
LAURIE GAMMELGAARD	Mr. Raphael is no longer with the bank. How can I help you?
LARRY CROWNE	Barry is gone? I need to talk to someone in Home and Real Estate.
LAURIE GAMMELGAARD
LARRY CROWNE	(reading his ATM card) I wish! I'm Customer number 566 7878 2031 339 and I can be there in three minutes!
LARRY CROWNE	Three minutes!
LARRY CROWNE	What happened to Barry Raphael? This is some kick in the head. Not sure what to tell you, Mr. Crowne.
LARRY CROWNE	I m hoping not to lose my house.
LAURIE GAMMELGAARD	You're carrying what on the house?
LARRY CROWNE
LAURIE GAMMELGAARD	Two Ninety-two K. That's trouble. Three years ago I'd have loaned you $700,000, but I think you read the papers.
LARRY CROWNE	In a few weeks your financial base will tell us what we can do. Find new employment. Liquidate everything low on the Value Index. Stick to a budget. Clip coupons, buy in bulk, you know the drill. Then come back and we'll work with you.
LARRY CROWNE	That's RiverBank's plan for me?
LAURIE GAMMELGAARD	It is Friday, Mr. Crowne...
LAMARR	Larry's home a little late tonight.
PATIENCE	Maybe he was out on a date.
LAMARR	We'd see that on the news.
PATIENCE	Don't even think about lighting that up in my house.
LARRY CROWNE	How do I offer this up to Personnel?
PLANET STAFFER	There should be a box to put it in.
LARRY CROWNE	This?
PLANET STAFFER	No. There should be another box.
LARRY CROWNE	There isn't.
PLANET STAFFER	That's the one, then.
LARRY CROWNE	Just following up with an in-person visit.
LARRY CROWNE	You have a great location here.
LARRY CROWNE	I used to work for UniMart! I could spill you some 411.
LARRY CROWNE	I know their trade secrets.
LARRY CROWNE	And I'm ready to learn new strategies. I'll stop by again so you can keep me in mind.
LARRY CROWNE	I'll work every day.
CHEF AMOS	Oh, I remember you. Larry Crowne. I never forget anyone who quits on me.
LARRY CROWNE	As I recall, I gave my notice and worked all my shifts and that was 12 years ago.
CHEF AMOS	As I recall, I had to hire and train a line cook to take your place. Walking out doesn't happen in a vacuum, you know. Doesn't mean I wouldn't give you a job again. But you've been out of the business a long time, and look around. I don't need you.
RAUL	You come in two weeks ago I would have kissed you on the mouth, but Carlos and Nick, they walked in. Best I can do? Put you at the top of the list.
PERRY	Dang the timing, Kimosabe. Wish I could help you but Raul runs the back.
LARRY CROWNE	Not sure I could work here anyway. The atmosphere is too pleasant and the client�le too A Number 1.
PERRY	Breakfast on the house. Chorizo Scramble, right?
LARRY CROWNE	No charity today. I got things to do.
PERRY	Like what?
LARRY CROWNE	Nothing. I was just saying that.
LARRY
LAMARR	There's been a yard sale at 1402 Derby Court since Monica Lewinsky! That gives me a monopoly on the location! You go yard on me, Larry Crowne and I will destroy you.
LAMARR	Bloody Friday. Security sees you off, by the time Monday comes around the fired man is the forgotten man. Diabolical.
LARRY CROWNE	They said it's because I didn't go to college.
LAMARR	Smoke screen. The Man just wanted you gone. (his yard sale) You liquidating assets to raise cash?
LARRY CROWNE	Buying out Denise's half of the house was the worst advice, ever.
LAMARR	I told you to avoid divorce lawyers. Get married. Stay married. Come with me.
LAMARR	I'll tell you straight up - I'm not lending you money.
PATIENCE	Whole box of Cha-Cha records from the Fifties. You don't have any of these, I promise.
LAMARR	He can't afford 'em Lost his job
PATIENCE	No! UniMart just lost my business forever!
LARRY CROWNE	I love you too.
PATIENCE	Sorry, Lie-bare-eye-bee. Get a better job somewhere so you can crush them.
LARRY CROWNE	Hard to do.
LAMARR	He's going to get something better than a job. An education.
LAMARR	Get some knowledge and you'll be fire proof.
LARRY CROWNE	Aren't there unemployed engineers and geophysicists?
PATIENCE	Listen to my husband. Hasn't called a man boss in years. Paid off the house.
LARRY CROWNE	You won the Lottery.
PATIENCE	Picked 8 little numbers when I kept saying he was a fool. A quarter million dollars later I've shut up.
LAMARR	Lost half to taxes.
LARRY CROWNE	I'll see if there's a class in here for PowerBall 250.
LAMARR	That's half a buck for the book.
LARRY CROWNE	They give these away free.
LAMARR	They do. I don't.
BUSIK	Back to college, huh?
LARRY CROWNE	First time. I was in the Navy.
BUSIK	Coast Guard. Adventure of a Lifetime.
LARRY CROWNE	Galley Mate.
BUSIK	We teach a whole track in Hotel and Restaurant Food Preparation.
LARRY CROWNE	No. No, no. I need an all-new career and a place to go everyday.
BUSIK	Those two things are my specialty.
BUSIK	First thing. Bravo for choosing East City College. Never too late for an education. Second, you need a jolt to the confidence machinery.
BUSIK	I am going to change your life. (a page in the catalog) Speech 217: The Art of Informal Remarks, cause it's not enough to just be smart anymore, you have to project ease even when it ain't easy.
LARRY CROWNE	Is this Public Speaking?
BUSIK	It's training. Job interviews will be a breeze with the confidence you'll get from Speech Two One Seven. (even better...) And you'll spend three hours a week with the most attractive package in all of Academia. The Golden Girl of East City. Mercedes Tainot.
GPS VOICE	Please Enter your destination.
MERCEDES TAINOT	I'm here. Shut up. Turn off!
LARRY CROWNE	Sorry! Parking's impossible today!
MERCEDES TAINOT	Are you new to the Faculty?
LARRY CROWNE	New to the Student Body.
MERCEDES TAINOT	This is the Faculty Lot. We've earned degrees for these spaces. Students park on Mars.
LARRY CROWNE	I'm going to be late for my first day of school.
MERCEDES TAINOT	I bet it won't be the first time.
MERCEDES TAINOT	This is it? This class...is CANCELLED!!
LARRY CROWNE	Please tell me this is Speech 217.
MERCEDES TAINOT	While earning a Masters in Shakespearean Political Discourse from Vassar, I learned to care. Caring is a prerequisite for this class I have to teach in this
DIBIASI	Ms. Tie-knot?
DIBIASI	Uh, Tay-knot...Tai-bo...
MERCEDES TAINOT	Who are you?
DIBIASI	Steve Dibiasi. Friends call me Nomad. Only two days before I gotta get up and give my address? You may be dreaming.
MERCEDES TAINOT	Why are you here, Steve?
DIBIASI	Counsellor Busik said this class would change my life.
MERCEDES TAINOT	Busik. Of course...
DIBIASI	I gotta take this...
LARRY CROWNE	Look at us, in two classes in a row.
PINEDO	Yes. Hi.
LARRY CROWNE	That Ms. Tainot is something else isn't she? I'm new to this coll ge life and, I confess, she sca es e This whole place scares me.
PINEDO	Yes.
LARRY CROWNE	I woke up this morning so nervous about the first day of school. I changed my clothes three times.
PINEDO	I am Lala.
MANIACALLY)	That usually scares people. Yet none of you have fled. A good economic indicator.
LARRY CROWNE	I like this guy...
PINEDO	Yes... Shakespeare as I know him... is cancelled.
LAMARR	What's cookin' Joe College?
LARRY CROWNE	Money woes. Paying for gas, getting to school. You ever come across a moped or a scooter for sale or trade?
LAMARR	Come with me.
PATIENCE	Your next wife might stand smoking that pipe in the house but your first one says 'uh-uh!' On the old TV on "Wheel of Fortune" (A person).
LAMARR	Passing through, woman...
PATIENCE	Larry Crowne, been thinking about you. Sit down here...
LARRY CROWNE	"College Graduate."
PATIENCE	That's going to be you someday.
PATIENCE	You have money in all those records. If you can part with them, they'd go for something on the eBay. I'll show you how...
LAMARR	This what you're talking about?
LARRY CROWNE	That's a hunk of junk.
LAMARR	This is classic.
LARRY CROWNE	It doesn't work.
LAMARR	It will for eight hundred dollars.
LARRY CROWNE	Two hundred.
LAMARR	Seven hundred.
LARRY CROWNE	Two hundred.
LAMARR	Six fifty.
LARRY CROWNE	Two hundred.
LAMARR	Six thirty.
PATIENCE	Gonna be a long night with you two.
LARRY CROWNE	Forget it.
LAMARR	Larry! The secret of any negotiation is for both of us to win Talk to me How much do you
LAMARR	Beautiful. I'll throw in a helmet. Gas. Brake. Light's busted. Tires are low. You'll need a special license.
LARRY CROWNE	All I need is the open road.
LAMARR	You break it, you bought it.
LARRY CROWNE	It still works.
LAMARR	Talking about the hedge.
DEAN TAINOT	Well, hey! Who's home early!
MERCEDES TAINOT
DEAN TAINOT	First day of term calls for a celebration!
MERCEDES TAINOT	You'd think so.
DEAN TAINOT	What's your burden this go round?
MERCEDES TAINOT	Tap Dancing. Ping Pong. Water Torture. And Speech at Sunrise
DEAN TAINOT	I built a Flamethrower of a posting for WarriorWeb which, if I do say, will feed nicely as an outline for "Carrier: Second Angel." And, I was a guest blogger on CyberShare.
MERCEDES TAINOT	Why wouldn't I believe you?
DEAN TAINOT	I was composing, Mercy. That's what I do all day.
MERCEDES TAINOT	You were looking at porn.
MERCEDES TAINOT
DEAN TAINOT	It's barely porn. I'm not hiding it.
MERCEDES TAINOT	Yes you are.
DEAN TAINOT	Don't chug. Sip. Everyone hides something.
MERCEDES TAINOT	I have no secrets from you. I share the whole miserable slate.
DEAN TAINOT	You walked in the door pissed off because -- I'm sorry -- I've established a beach head in New Media while you still have to teach at Vassar of the Valley. You hide that.
MERCEDES TAINOT	You look at Bra-Busters Triple-X expecting me to pretend I don't know or I don't care. I do both and don't like it.
DEAN TAINOT	It may look like I don't work hard around here, Mercy. But I do. I'm just a guy who's a guy being a guy when you're not around...
DEAN TAINOT	I'm a guy. Who's a guy. Being a guy...
RIDER	How you doing...
LARRY CROWNE	Speck-tack-alar. Nice machine. Where you headed?
RIDER	Work.
LARRY CROWNE	School. College. I'm a student. What do you do?
RIDER	I'm a gynecologist.
LARRY CROWNE	Yeah? I'd say 'have a great day' but that would be stating the
TALIA	Where'd you get the Hot Wheels?
TALIA	That machine's a classic.
LARRY CROWNE	Got me here for a nickel's worth of gas.
TALIA	You're in Matsutani's Econ with me.
LARRY CROWNE	I am?
TALIA	That class is straining my coconut.
LARRY CROWNE	It's only been one day
TALIA	Didn't know you scooted.
LARRY CROWNE	New to the sport.
TALIA	(pulls out mobile phone) Give me your number. I'll introduce you to like-minded enthusiasts. Name please?
LARRY CROWNE	Larry Crowne. With an 'e'.
TALIA	'Larry'? I don't think so. I used to be Kathleen but one day I looked in the mirror and saw a girl named Talia. (then in her phone) Putting you in as 'Lance'. Check your texts and we'll do us some scooting. Gotta tell you, Lance. Tucking a polo shirt into khakis makes you look like a cop.
LARRY CROWNE	Not much fashion sense.
TALIA	I know! Gotta change that...
LARRY CROWNE	Gotta go!
TALIA	Then get going!!
CALIMERIS	With the push-up added, the 4-count Burpie becomes the 6-count Burpie and works out the pecs and biceps. It's an all-in-one exercise perfect for Cheerleader conditioning. The
6-COUNT BURPIE
MERCEDES TAINOT	We now all know how to Burpie. Thank you. Who's next? Ms. Crowne?
LARRY CROWNE	You mean me?
MERCEDES TAINOT	Mr. Crowne. My bad.
LARRY CROWNE	My presentation will be on the subject of a very particular procedure. "How to make French Toast", but I'll speak English...
MERCEDES TAINOT	M classes were once filled with e rnest young men ready to learn all I had to teach them. Cute boys fresh out of High School who all had crushes on me from day one. Now look at my cadre. Dibiasi. Bound for jail. Mack. Treating college like another tour of combat. Crowne. If this was Hamlet, he'd be Osric in Act 5. The part that is always cut.
LARRY CROWNE	Most people think syrup comes out of a plastic bottle.
MERCEDES TAINOT	(still talking to herself) Great. The history of the sugar maple tree now. Thank you Wikipedia. But the speech is over. MERCEDES TAINOT (CONT'D) Ah-ooo-gah! Time's up.
LARRY CROWNE	That went fast...
MERCEDES TAINOT	Breakfast may never be ready.
DIBIASI	I'll go. But you aren't going to like it.
MERCEDES TAINOT	Are you clairvoyant?
DIBIASI	(holding a pack of Toaster
WAFFLES)
DIBIASI	Brown Waffles in toaster at lightest or lowest heat setting. An adult should supervise heating by children. Applause please.
BUSIK	Simple. Direct. Informative.
TALIA	Hey Monkey!
TALIA	This is Lance Corona. Classmate and good guy, so far.
DELL GORDO	Dell Gordo. You want to ride with us?
LARRY CROWNE	Why not.
TALIA	Snap along, Lance or you can't join the gang.
DELL GORDO	Okay. You're in for a trial run.
STAN	Not many of these '66 Wasps left around. They had low torque. How's the torque?
LARRY CROWNE	I just bought it and ride around.
TALIA	Stan knows engines and junk.
DELL GORDO	Let's go, Sweets!
TALIA	We ride, Monkey!
LARRY CROWNE	Other than school, I have nothing to do.
DELL GORDO	Let's troll Buena Vista for junk stores.
STAN	We hit those last week.
TALIA	If it was Saturday we'd look for yard sales.
LARRY CROWNE	I know where a yard sale is, like everyday.
TALIA	Lead the way. Monkey! Lance knows a yard sale!
DELL GORDO	Take point!
LARRY CROWNE	Follow me, boys and girl!
LAMARR	We're being invaded!
LAMARR	Larry, what kind of thugs you get in with?
LARRY CROWNE	College buddies.
LAMARR	If they're college buddies why aren't they in college?
TALIA	You have any old clothes?
LAMARR	Speak to my bride inside.
DELL GORDO	Oh man! These TV trays are too much!
LAMARR	Bargains at $100 apiece.
DELL GORDO	For these? Are you nuts?
LAMARR	I'm joking, kid. Let's get to haggling. A buck apiece.
LAMARR
YOU	Ninety-nine dollars apiece. see how this is working?
DELL GORDO	Two bucks apiece!
LAMARR	Ninety-eight and, kid, I do this every day.
TALIA	Layer this... with this.
PATIENCE	Add this belt?
TALIA	I LOVE THIS! Where did you GET IT?
PATIENCE	Reeled it in like tuna from the Atlantic.
TALIA	Diamonds in a diamond mine. Take this... under this...unbutton that.
PATIENCE	You and I are going to spend some time together!
TALIA	I gotta see Chez Lance.
LARRY CROWNE	Entrez vous, sea food plate.
TALIA	No sign of a woman around here for years. Drape a scarf over that lamp and you'll soften the light. No TV, b t vinyl disks of music? You trying to seduce me?
TALIA	Alphabetical order. No artistic chaos for you.
TALIA	Spin this platter, Mr. DJ?
LARRY CROWNE	Good choice.
TALIA	Breakfast nookie!
TALIA	Did Denise make you breakfast in here with a little apron and lipstick perfectly applied?
LARRY CROWNE	I did most of the cooking, actually. You know about Denise?
TALIA	Patience thought she was stuck up and seriously fleeced you.
TALIA	So what happened there, my Lance?
LARRY CROWNE	The usual stuff between three people.
TALIA	She must have been pretty. Fair haired or dark?
LARRY CROWNE	Dark.
TALIA	Like me. So? How about a demonstration? he means 'of the kitchen'. Larry's game...
LARRY CROWNE	Stay outta my way.
TALIA	Kitchen, Monkey!
DELL GORDO	Corn pone!
TALIA	Lance made all this. You should have seen him. He was like...
DELL GORDO	You're like Uncle Ben or something. Stan's working on your bike.
LARRY CROWNE	He is?
DELL GORDO	Said the thing was a time bomb. He's saving your life.
LARRY CROWNE	'We'll be right back after these messages.'
DELL GORDO	You're in the Street Patrol. A full-time mission for beauty and justice.
TALIA	That Denise. What a fool. You a e way cooler than you appear.
DELL GORDO	Lance. All men fall in love with Talia. You will too, if you haven't already. But I love her the most. Know that right now.
LARRY CROWNE	Capice.
DELL GORDO	Seriously. Don't make me keep my eyes on you. What's your real name?
LARRY CROWNE	L rry.
DELL GORDO	Mine's Don. Shake hands. Look each other in the eyes. Firm grips. No contest, but firm. Hold. Stack it. One word, Lance. Peace.
LARRY CROWNE	Peace indeed.
LARRY CROWNE	Speck-tack-alar.
FRANCES TAYLOR-BRIEGH	Act I: Inventory. What do you sell? Act Two? To Market. Reach your buyers. Act Three? Three legs of accounting. Receivable. Payable. Due. Act Four? Forward planning. Plan to grow. Act Five? Final Profitability. What do you clear on bottom-line? In other words: "To be or not to be... in Business."
MERCEDES TAINOT	Did you notice? No script. No notes. So it can be done. You did good, Fran. Thanks.
FRANCES TAYLOR-BRIEGH	Anything for the woman who brought out the public speaker in Frances Taylor-Briegh. I used you as a Focal Reference but you weren't there for me. What's wrong, Mercy? I broke up with the Orthodontist. Now I have to get a new boyfriend and a new orthodontist. You ever do that? Get crushes on people you see every day after ignoring them and then find out they're creeps after all?
MERCEDES TAINOT	Mr Crowne? Can you move along
LARRY CROWNE	That was a great presentation. I learned a lot from it.
FRANCES TAYLOR-BRIEGH	Super.
LARRY CROWNE	Smart stuff. Super smart.
FRANCES TAYLOR-BRIEGH	Ethel's here, Lucy. What's going on?
MERCEDES TAINOT	When was the last time you looked at your life and saw nothing but fraud and desperation?
FRANCES TAYLOR-BRIEGH	Mercy. You're an idol to me. Hearing you talk like that is crushing my dreams.
MERCEDES TAINOT	Well I'm joking of course!!! Translation? Ms. Francesco?
TALIA	Something complicated.
LARRY CROWNE	Breaking even is not making profit, it's a theoretical assumption. Economics abhors an assumption. The Break Even Paradox creates a new metric... Palm out again. DR. MATSUTANI (CONT'D) I am growing tired of this game, Mr. Crowne. Aren't you?
LARRY CROWNE	So what happens here?
TALIA	You ready? Re-invention Big Boy
LARRY CROWNE	I have no idea what that means, but you betcha.
LARRY CROWNE	Holy smokes!
TALIA	I started in the smallest unit.
LARRY CROWNE	This is just sitting here? Talia! This is unproductive capital! Sell it on eBay.
TALIA	No one should ever buy clothes off the internet. You have to feel the fabric and test the drape...
LARRY CROWNE	What is all this worth?
TALIA	A lot to me. Try these on.
LARRY CROWNE	Where?
TALIA	Anywhere. Fashion is no place for modesty. Strip.
LARRY CROWNE
TALIA	This is a service to humankind, Lance. It hurts me to see a Top Cat dressed like an ex-hockey player. You gotta look gorgeous from shoe to collar. Starting now.
DELL GORDO	Monkey! Thought you might be here.
TALIA	Lance! My boyfriend's here! Put your pants on!
GPS VOICE	Please enter your destination.
MERCEDES TAINOT	Go to hell...
HE'S
DEAN TAINOT	No argument here, Mercy. Fact: I'm a dope. Fact: My wife is beautiful and brilliant. And I will be a good boy from now on. Why? Because you're right and I've learned my lesson. Just don't be mad at me forever. I have a pliable soul and I pray you do too
MERCEDES TAINOT	It was. Yes.
