HOUSE SERVANT'S VOICE	m	He will be saying prayers in the  garden -- just follow the others.
MANU	m	Brother -- Bapu is already late for  prayers.
GANDHI	m	Oh, God... oh, God...
MURROW	m	...The object of this massive tribute  died as he had always lived -- a  private man without wealth, without  property, without official title or  office...
MURROW'S VOICE-OVER	?	Mahatma Gandhi was not a commander  of great armies nor ruler of vast  lands, he could boast no scientific  achievements, no artistic gift...  Yet men, governments and dignitaries  from all over the world have joined  hands today to pay homage to this  little brown man in the loincloth  who led his country to freedom...
MURROW'S VOICE-OVER	?	Pope Pius, the Archbishop of  Canterbury, President Truman, Chiang  Kai-shek, The Foreign Minister of  Russia, the President of France...  are among the millions here and abroad  who have lamented his passing. In  the words of General George C.  Marshall, the American Secretary of  State, "Mahatma Gandhi had become  the spokesman for the conscience of  mankind..."
MURROW'S VOICE-OVER	?	...a man who made humility and simple  truth more powerful than empires."  And Albert Einstein added,  "Generations to come will scarce  believe that such a one as this ever  in flesh and blood walked upon this  earth."
MURROW'S VOICE-OVER	?	... but perhaps to this man of peace,  to this fighter who fought without  malice or falsehood or hate, the  tribute he would value most has come  from General Douglas McArthur: "If  civilization is to survive," the  General said this morning, "all men  cannot fail to adopt Gandhi's belief  that the use of force to resolve  conflict is not only wrong but  contains within itself the germ of  our own self-destruction."...
MURROW'S VOICE-OVER	?	Perhaps for the rest of us, the most  satisfying comment on this tragedy  comes from the impudent New York PM  which today wrote, "There is still  hope for a world which reacts as  reverently as ours has to the death  of a man like Gandhi."...
GANDHI	m	Tell me -- do you think about hell?
PORTER	m	"Hell!"
GANDHI	m	No -- neither do I. But... but this man is a Christian and he  has written --
PORTER	m	Excuse me, baas, but how long have  you been in South Africa?
GANDHI	m	A -- a week.
PORTER	m	Well, I don't know how you got a  ticket for --
CONDUCTOR	m	Here -- coolie, just what are you  doing in this car?
GANDHI	m	Why -- I -- I have a ticket. A First  Class ticket.
CONDUCTOR	m	How did you get hold of it?
GANDHI	m	I sent for it in the post. I'm an  attorney, and I didn't have time to --
EUROPEAN	m	There are no colored attorneys in  South Africa. Go and sit where you  belong.
PORTER	m	I'll take your luggage back, baas.
GANDHI	m	No, no -- just a moment, please.
GANDHI	m	You see, Mohandas K. Gandhi, Attorney  at Law. I am going to Pretoria to  conduct a case for an Indian trading  firm.
EUROPEAN	m	Didn't you hear me? There are no  colored attorneys in South Africa!
GANDHI	m	Sir, I was called to the bar in London  and enrolled in the High Court of  Chancery -- I am therefore an  attorney, and since I am -- in your  eyes -- colored -- I think we can  deduce that there is at least one  colored attorney in South Africa.
EUROPEAN	m	Smart bloody kaffir -- throw him  out!
CONDUCTOR	m	You move your damn sammy carcass  back to third class or I'll have you  thrown off at the next station.
GANDHI	m	I always go First Class! I have  traveled all over England and I've  never...
GANDHI	m	But you're a rich man -- why do you  put up with it?
KHAN	m	I'm rich -- but I'm Indian. I  therefore do not expect to travel  First Class.
GANDHI	m	In England, I was a poor student but
KHAN	m	That was England.
GANDHI	m	This part of "England's" Empire!
SINGH	m	Mr. Gandhi, you look at Mr. Khan and  see a successful Muslim trader. The  South Africans see him simply as an  Indian. And the vast majority of  Indians -- mostly Hindu like yourself -- were brought here to work the mines  and harvest the crops -- and the  Europeans don't want them doing  anything else.
GANDHI	m	But that is very un-Christian.
TYEB MOHAMMED	m	Mr. Gandhi, in this country Indians  are not allowed to walk along a  pavement with a "Christian"!
GANDHI	m	You mean you employ Mr. Baker as  your attorney, but you can't walk  down the street with him?
KHAN	m	I can. But I risk being kicked into  the gutter by someone less "holy"  than Mr. Baker.
GANDHI	m	Well, then, it must be fought. We  are children of God like everyone  else.
KHAN	m	Allah be praised. And what battalions  will you call upon?
GANDHI	m	I -- I will write to the press --  here -- and in England. And I will use the courts.
SINGH	m	You will make a lot of trouble.
GANDHI	m	We are members of the Empire. And we  come from an ancient civilization.  Why should we not walk on the  pavements like other men?
KHAN	m	I rather like the idea of an Indian  barrister in South Africa. I'm sure  our community could keep you in work  for some time, Mr. Gandhi -- even if  you caused a good deal of trouble. Especially if you caused a good deal  of trouble.
GANDHI	m	There's the English reporter. I told  you he'd come.
KHAN	m	You also said your article would  draw a thousand people. At least some of the Hindus brought  their wives.
GANDHI	m	No. I asked my wife to organize that.
SINGH	m	Some of them are leaving...
GANDHI	m	Ladies and Gentlemen, we have asked  you to gather here to help us proclaim  our right to be treated as equal  citizens of the Empire.
GANDHI	m	We do not seek conflict. We know the  strength of the forces arrayed against  us, know that because of them we can  only use peaceful means -- but we  are determined that justice will be  done!
GANDHI	m	The symbol of our status is embodied  in this pass -- which we must carry  at all times, but no European even  has to have.
GANDHI	m	And the first step to changing our  status is to eliminate this difference  between us.
KHAN	m	You write brilliantly, but you have  much to learn about handling men.
KHAN	m	We do not want to ignite... the fear  or hatred of anyone. But we ask you --  Hindu, Muslim and Sikh -- to help us  light up the sky... and the minds of  the British authorities -- with our  defiance of this injustice.
KHAN	m	We will now burn the passes of our  committee and its supporters. We ask  you to put your passes on the fire  with --
POLICE SERGEANT	m	Oh, no, you bloody well don't!
POLICE SERGEANT	m	Those passes are government property!  And I will arrest the first man who  tries to burn one!
POLICE SERGEANT	m	Take him away!
POLICE SERGEANT	m	Now -- are there any more?!
POLICE SERGEANT	m	You little sammy bastard -- I --
POLICE SERGEANT	m	You want that kind of trouble -- you  can have it!
BA	f	Let me go!
SERGEANT	m	Stop!
GANDHI	m	You saved the papers.
BA	f	I wish you were still struggling for  work in Bombay.
GANDHI	m	I hated that -- all the pettiness,  the little corruptions. And I was more laughing stock than  lawyer.
GANDHI	m	But they needed me here. If I'd never  been thrown off that train, perhaps  no one would ever have needed me.
GANDHI	m	"A high court judge has confirmed  that Mr. Gandhi would have been within  his rights to prosecute for assault  since neither he nor Mr. Khan resisted  arrest." -- I told you about English  law.
BA	f	As I told you about English policemen.
GANDHI	m	Yes?
HARILAL	m	We are glad to have you back, Bapu.
GANDHI	m	And I am glad to be back. Come...
BA	f	Be careful!
GANDHI	m	Tomorrow I will tell you what it  feels like to be a jailbird.
AYAH	f	Come. Come.
GANDHI	m	Just like proper English gentlemen.  I'm proud of them.
BA	f	They are boys. -- And they're Indian.
GANDHI	m	Hm. Will you take this off? It pinches every time I speak.
GANDHI	m	Here, you see? Even the South African  papers apologize -- "a monstrous  attack."
BA	f	Are you sure?
GANDHI	m	Yes -- I can't talk like this.
GANDHI	m	Pull!
GANDHI	m	Oww!
BA	f	Mr. Khan said they called you brave.
GANDHI	m	If you would let me teach you to  read, you could see for yourself.
BA	f	I could have told them you were merely  foolish.
GANDHI	m	It proves what I told you. If I had  prosecuted him as everyone advised --  even you -- they would have hated me --  by showing forgiveness I -- ouch!
BA	f	There...
GANDHI	m	You see there is such a thing as  moral force -- and it can be  harnessed.
BA	f	Not always. You have told me twice  now that you were giving up the  pleasures of the flesh.
GANDHI	m	I am. I am convinced the holy men  are right. When you give up, you  gain. The simpler your life the  better.
GANDHI	m	I will fast tomorrow -- as a penance.
BA	f	If you enjoy it a great deal you  must fast for two days.
TALL CIVIL SERVANT	m	The London papers have arrived from  the Cape, sir.
SMUTS	m	Yes -- ?
TALL CIVIL SERVANT	m	The worst was the Daily Mail, sir.  They said, "The burning of passes by  Mr. Gandhi was the most significant  act in colonial affairs since the  Declaration of Independence."
SMUTS	m	Did they? Well, they'll find we're a  little better prepared this time.  Mr. Gandhi will find he's on a long  hiding to nothing.
CHARLIE	m	You'd be Gandhi -- ...I thought you'd be bigger.
GANDHI	m	I'm sorry.
CHARLIE	m	I -- I mean it's all right. It doesn't  matter. I'm -- my name is Andrews, Charlie  Andrews. I've come from India --  I've read a great deal about you.
GANDHI	m	Some of it good, I hope.
GANDHI	m	Would you care to walk?
GANDHI	m	You're a clergyman.
CHARLIE	m	Yes. I've -- I've met some very  remarkable people in India... and --  and when I read what you've been  doing here, I -- I wanted to help. Does that surprise you?
GANDHI	m	Not anymore. At first I was amazed... but when  you are fighting in a just cause,  people seem to pop up -- like you --  right out of the pavement. Even when  it is dangerous or --
FIRST YOUTH	m	Hey -- look what's comin'!
SECOND YOUTH	m	A white shepherd leading a brown  sammy!
CHARLIE	m	Perhaps I should --
GANDHI	m	Doesn't the New Testament say, "If  your enemy strikes you on the right  cheek, offer him the left"?
CHARLIE	m	I think perhaps the phrase was used  metaphorically... I don't think our  Lord meant --
GANDHI	m	I'm not so certain. I have thought  about it a great deal. I suspect he  meant you must show courage -- be  willing to take a blow -- several  blows -- to show you will not strike  back -- nor will you be turned  aside... And when --
GANDHI	m	...and when you do that it calls  upon something in human nature --  something that makes his hate for  you diminish and his respect increase.  I think Christ grasped that and I --  I have seen it work.
GANDHI	m	Good morning.
FIRST YOUTH	m	Get off the pavement, you bloody --
A WOMAN'S VOICE	f	Colin! Colin! What are you doing?
FIRST YOUTH	m	Nuthing... nuthing. We were just  cleaning up the neighborhood a little.
COLIN'S MOTHER	f	You're already late for work. I  thought you'd gone ten minutes ago.
GANDHI	m	You'll find there's room for us both.
CHARLIE	m	That was lucky.
GANDHI	m	I thought you were a man of God.
CHARLIE	m	I am. But I'm not so egotistical as  to think He plans His day around my  dilemmas.
GANDHI	m	...you could call it a "communal  farm," I suppose. But we've all come  to the same conclusion -- our Gita,  the Muslim's Koran or your Bible --  it's always the simple things that  catch your breath -- "Love thy  neighbor as thyself" -- not always practiced -- but it's  something we Hindus could learn a  lot from.
CHARLIE	m	That's the sort of thing you'll be  seeking on this "farm"...
GANDHI	m	Well, we shall try.
SONJA	f	They're going to change the pass  laws.
SMUTS'S VOICE-OVER	?	It's taken time, but it needed to be  done fairly. We didn't want to create  an injustice simply because Mr. Gandhi  was abusing our existing legislation.
SECOND VOICE	m	Just one second, sir, please.
SMUTS	m	But on a short trip, I wouldn't spend  too much time on the Indian question,  Mr. Walker. It's a tiny factor in  South African life.
WALKER	m	It's news at the moment. I will  certainly report on your mines and  the economy -- but I would like to  meet this Mr. Gandhi.
SMUTS	m	Of course. We Westerners have a  weakness for these -- these  spiritually inclined men of India.  But as an old lawyer, let me warn  you, Mr. Gandhi is as shrewd a man  as you will ever meet, however  "otherworldly" he may seem. But I'm  sure you're enough of a reporter to  see that.
GANDHI	m	...so it's not "spiritualism" or  "nationalism" -- we're not against  anything but the idea that people  can't live together.
GANDHI	m	You see -- Hindus, Muslims, Sikhs,  Jews -- even Christians.
GANDHI	m	Mr. Walker! Of The New York Times!
GANDHI	m	Without a paper -- a journal of some  kind -- you cannot unite a community. You belong to a very important  profession.
WALKER	m	Hm. And what should an "important  professional" write about your  response to General Smuts's new  legislation?
GANDHI	m	I don't know... I'm still searching  for a "response."
WALKER	m	You will respect the law.
GANDHI	m	There are unjust laws -- as there  are unjust men.
WALKER	m	You're a very small minority to take  on the Government -- and the Empire.
GANDHI	m	If you are a minority of one, the  truth is the truth.
GANDHI	m	This is Mr. Kallenbach. He is our  chief carpenter -- and also our chief  benefactor. He has made this  experiment possible.
WALKER	m	Well, it's quite a place, your  "ashram" -- is that right?
GANDHI	m	That's right. The word only means  "community." But it could stand for  "village"... or the world.
WALKER	m	You're an ambitious man.
GANDHI	m	I hope not.
WALKER	m	They tell me you also take your turn  at peeling potatoes and cleaning the  "outhouse" -- is that part of the  experiment?
GANDHI	m	Ba -- we will need another place set  for Mr. Walker's driver.
BA	f	I will tell Sora.
GANDHI	m	It's one way to learn that each man's  labor is as important as another's.  In fact when you're doing it,  "cleaning the outhouse" seems far  more important than the law.
GANDHI	m	Please come and join us -- you'll  need something before your journey  back. Excuse me a moment.
GANDHI	m	What is it?
BA	f	Sora was sent to tell me I -- I must  rake and cover the latrine.
GANDHI	m	Everyone takes his turn.
BA	f	It is the work of untouchables.
GANDHI	m	In this place there are no  untouchables -- and no work is beneath  any of us!
BA	f	I am your wife.
GANDHI	m	All the more reason.
BA	f	As you command.
BA	f	The others may follow you -- but you  forget, I knew you when you were a  boy!
GANDHI	m	It's not me. It's the principle. And  you will do it with joy or not do it  at all!
BA	f	Not at all then...
GANDHI	m	All right, go! You don't belong here!  Go! Leave the ashram! Get out  altogether! We don't want you!
BA	f	Stop it! Stop it! What are you doing!?
BA	f	Have you no shame? I'm your wife... Where do you expect me to go?
GANDHI	m	What is the matter with me...?
BA	f	You are human -- only human.
BA	f	And it is even harder for those of  us who do not even want to be as  good as you do.
GANDHI	m	I apologize...
GANDHI	m	I must go back to that reporter.
BA	f	...And I must rake and cover the  latrine.
GANDHI	m	I want to welcome you all!
GANDHI	m	Every one of you. We -- have -- no -- secrets.
GANDHI	m	Let us begin by being clear about  General Smuts's new law. All Indians  must now be fingerprinted -- like  criminals. Men and women. No marriage other than a Christian  marriage is considered valid. Under  this Act our wives and mothers are  whores... And every man here a  bastard.
KHAN	m	He's become quite good at this.
