ATTENDANT	?	Dr. Furtw�ngler, the Reichsminister.
REICHSMINISTER	?	Dr. Furtw�ngler, I want to apologise  personally for this power failure.   I was so enjoying the performance.   In times like these we need  spiritual nourishment.
REICHSMINISTER	?	But I welcome this unexpected  opportunity of talking to you. When you came on to the platform  tonight, I thought you weren't  well.  You looked tired, Get away from this bombing. Away from the war.  Yes, you look  tired... Even in this light.
A MAN'S VOICE	m	Look at them. Men, women, kids.  Boy, did they love him. You see,  Steve, Adolf Hitler touched  something deep, real deep and savage  and barbaric, and it won't just go  away overnight. It's got to be  rooted out. You know what I think?  I think they were all Nazis. And  let's face it, their leaders, those  bastards now on trial in Nuremberg,  couldn't have done it alone. It's  these people, they gave all the  help that was needed. Willingly.
THE MAN'S VOICE	m	That's him.  Furtw�ngler. Wilhelm  Furtw�ngler.
WALLACE	m	So, you never heard of him.
STEVE	m	Nope.
WALLACE	m	Do you know who Arturo Toscanini  is?
STEVE	m	Sure.
WALLACE	m	He's as big as Toscanini, maybe  even bigger. In this neck of the  woods, he's probably Bob Hope and  Betty Grable rolled into one.
STEVE	m	Jeez, and I never heard of him.
WALLACE	m	You were in insurance before the  war.
STEVE	m	Right. Claims assessor.
WALLACE	m	Conscientious, determined, dogged.
STEVE	m	They said I was dogged?
WALLACE	m	Well, they say here that when you  went on a case, you stayed on it. Now we can't take every Nazi in  this country to trial, although I  would like to; it's an  impossibility. So we're going for  the big boys in industry, education,  law, culture.
STEVE	m	Like this bandleader.
WALLACE	m	Well, he's more than just a  bandleader, Steve. He's a great  conductor, a gifted artist. But we  believe that he sold himself to  the devil. Your number one priority  from this moment on is to connect  him to the Nazi Party. Don't be  impressed by him. I want the folks  back home to understand why we  fought this war. Find Wilhelm  Furtw�ngler guilty. He represents  everything that was rotten in  Germany.
WALLACE	m	Stay put, Steve. There is some  other stuff that I'd like for you  to see here. Background.
WALLACE	m	Oh, one thing that may be a problem.  Our Occupation Authorities in  Wiesbaden have a duty to help these  poor unfortunates with their  defence. They keep repeating: 'We  must be just, we must be seen to  be just.' Well, I've only one thing  to say to the liberals in Wiesbaden:  fuck 'em. You answer to no one but me. Is  that understood? Show him the film.
PROJECTIONIST	?	Yes, sir. Roll it.
ARCHIVE FILM VOICE	m	That is the hand that dropped the  bombs on defenceless Rotterdam,  Brussels, Belgrade. That is the  hand that destroyed the cities,  villages and homes of Russia. That  is the hand that held the whip  over the Polish, Yugoslav, French  and Norwegian slaves. That is the  hand that took their food.
WALLACE	m	Next reel, please.
ARCHIVE FILM	m	Sanitary conditions were so  appalling that heavy equipment had  to be brought in to speed the work  of cleaning up. This was Bergen  Belsen.
AMERICAN RADIO VOICE	m	Remember, men, no fraternisation.  In a German town, if you bow to a  pretty girl or pat a blond child,  you bow to all that Hitler stood  for. You bow to his reign of blood.   You caress the ideology that meant  death and destruction. You never  know who was a member of the Nazi  Party. Don't be fooled. Don't  fraternise.
BOY	m	Cigarettes, chewing gum?
ADAMS	m	We're gonna have the heating fixed  by tonight.
ADAMS	m	Fr�ulein, this is Major Arnold.  Sir, this is your secretary,  Fr�ulein Emmi Straube. Her file's  on your desk. They sent her over  from Admin. I'll leave you to it.
STEVE	m	You live here, in Berlin?
EMMI	f	Yes.
STEVE	m	You do shorthand and typing?
EMMI	f	Yes.
STEVE	m	Okay, let's see. How long were you  in the camp for?
EMMI	f	Three months.
STEVE	m	Says here because of your father.  What's that mean?
EMMI	f	My father was one of the officers  in the plot against Hitler. They  arrested the plotters and their  families.
STEVE	m	Your mother, too.
EMMI	f	Yes. She suffered longer. She was  in Ravensbruck.
STEVE	m	And your father was executed.
STEVE	m	I'm gonna call you Emmi, you're  gonna call me Steve. Okay?
STEVE	m	I got a list of stuff here I'd  like you to get for me.
ADAMS	m	If you need anything, let me know.
EMMI	f	Major...
STEVE	m	Steve.
EMMI	f	There have been messages for you. A Lieutenant David Wills called  from the Allied Kommandatura  Cultural Affairs office in  Wiesbaden. I don't know who he is.
EMMI	f	Then there have been three calls  from Dr. Furtw�ngler wanting to  know when you wish to see him. I  did not speak to him personally...
STEVE	m	Think you can get me any of that?
EMMI	f	Oh yes, Major, I have recordings  of all his symphonies. I kept them  safe during the bombing. My  favourite is the Seventh Symphony.
STEVE	m	Mine's the Eleventh.
EMMI	f	But... he only wrote nine, Major.
STEVE	m	I'm kidding, Emmi. What about a  record player? You have that, too?
EMMI	f	No. Ours was damaged.
STEVE	m	What's in those files?
EMMI	f	The names of the members of the  Berlin Philharmonic Orchestra since  1934 together with their  questionnaires.  Major, what am I  to tell Dr. Furtw�ngler?
STEVE	m	You tell him nothing, Emmi. If he  calls again, you say you know  nothing. We're gonna keep him  waiting while I get acquainted  with his case and with the  witnesses. And, God help me, with  Beethoven.
STEVE	m	Yeah.
DAVID	m	Lieutenant Wills reporting to Major  Arnold. Sir.
STEVE	m	For Chrissakes I hate that shit,  cut it out.
DAVID	m	I'm very sorry.
STEVE	m	I'm Steve. What's your name?
DAVID	m	David. David Wills. I'm your liaison  officer with the Allied Kommandatura  Cultural Affairs Committee. Sir.
STEVE	m	Sounds a lot of run. So they sent the big guns to check  up on me. We recruiting children  now?
DAVID	m	I guess so, sir.
STEVE	m	You call me sir again and I'll  make you listen to Beethoven.
STEVE	m	Where you from, David?
DAVID	m	was born here, in Leipzig. I escaped  in '36. My parents, they sent me  to my uncle in Philadelphia. They  were to follow. But they delayed  and...
DAVID	m	Our family name was Weill. But  that doesn't sound well in English.  My uncle changed it to Wills and...
EMMI	f	I'm sorry.
STEVE	m	Come in, Emmi, this is your office,  too. Emmi, this is Lieutenant David  Wills.
STEVE	m	He is here to watch over us.
STEVE	m	I guess you admire musicians.
DAVID	m	Some.
STEVE	m	Don't. This is like a criminal  investigation, David. Musicians,  morticians, doctors, lawyers,  butchers, clerks. They're all the  same.
STEVE	m	We have a duty, a moral duty.
EMMI	f	It works!  Hallelujah!
EMMI	f	Herr Rudolf Werner.
STEVE	m	Sit down, Werner.
STEVE	m	I want you to understand why you're  here. This is an investigation  into Wilhelm Furtw�ngler, former  Prussian Privy Councillor, banned  from public life under Control  Council Directive No 24 and who's  applied to come before the Tribunal  of Artists of the Denazification  Commission. I'm interested in what  he was up to from 1933 to the end  of the war, understood?
