War of the Worlds

NARRATOR	No one would have believed in the early  years of the21st century, that our world  was being watched by intelligences greater  than our own. That as men busied themselves  about their various concerns, they observed  and studied. Like the way a man with  a microscope might scrutinize the creatures  that swarm and multiply in a drop of  water. With infinite complacency men  went to and fro about the globe, confident  of our empire over this world. Yet,  across the gulf of space, intellects,  vast and cool and unsympathetic regarded  our plant with envious eyes. And slowly  and surely, drew their plans against  us.
SAL	Ray!! Ferrier! Whoa!
SAL	I need you back at 4:00 instead of 12:00  I got half of Korea coming in.
RAY	No, no, no I can't. I'm on a 12 hour  blow! Call Tadesko.
SAL	Tadesko can't move 40 containers in  an hour. I need somebody who can do  double picks.
RAY	I wish I could help you Sal. God damn  union regulations.
SAL	(getting angry) Come on, I'm in a position  here!
RAY	Come on, you remember the union regulations,  Sal.
SAL	(angrily) You know what your problem  is?
RAY	(joking) I can think of a couple of  women who'd be happy to tell you.
RAY	Is it 8:30? We say that?
MARY ANN	We said 8:00.
RAY	(changing subject) Hey, this is one  safe looking vehicle you got yourself  here Tim. Congratulations.
TIM	Thank You.
RAY	8 o'clock huh?
MARY ANN	Um-Huh. We'll be back by 9:30 on Sunday,  depending on the traffic.
RAY	There he is! You got a hug?
RAY	(continues) Confusing handshake? (joking)  Kick in the teeth? The door's locked.  (to Mary Ann): Still working on those  manners?
RACHEL	Hello dad.
RAY	Hello, Rachel!
ROBBIE	(during bickering, at the front door)  The door's locked.
MARY ANN	(suit case in hand) I'll just get it  in the door.
RACHEL	It's got rollers, just roll it.
MARY ANN	Well we can't roll it up the stairs  now can we?
RAY	Really, I got it from here, okay?
RAY	(to Tim) It's a 302 V8. It's gonna be  out of here next week.
RAY	(trying to get her to leave) You better  get going if you want to beat the traffic,  don't you think?
MARY ANN	You're out of milk. (smells it) And  everything else.
RAY	(mad) Would you close the door please?  Now that that's my refrigerator.
TIM	I'm gonna go wait outside. (to Rachel)  I love you sweetheart (hugs her) see  you in a few days.
RACHEL	Bye Tim.
MARY ANN	I'd better get this upstairs.
RACHEL	(trying to get her bag form Mary Ann)  Mom, Mom!
RAY	Mary Ann, let me get this.
MARY ANN	I can get it.
RAY	(rushes to close his bedroom door, as  if hiding something) Excuse me.
MARY ANN	A little old to still be sharing aren't  they?
RAY	I don't hear any complaints.
MARY ANN	No, I do.
MARY ANN	Robbie's got a paper... (looks at Robbie  to make sure he's listening) ...on the  French occupation of Algeria due Monday  which he's yet to begin. It would be  nice if he were done by the time we  got back so we don't have to keep him  up all night on Sunday.
ROBBIE	I just got to type it up. (makes typing  motion)
MARY ANN	No, you just got to start writing it  first.
ROBBIE	(interrupts her) I love you mom!
MARY ANN	I love you. (begins walking over to  Rachel) Listen to your father.
MARY ANN	Oh, no shoes on the bed.
MARY ANN	We'll be at my parent's house in Boston  but don't call the house line, because  you know. Well the point is I've got  my cell phone. So if anything comes  up, or if you have any questions just  call.
RAY	Believe it or not, I can handle it.
MARY ANN	I'll leave the phone on.
RAY	Mary Ann? (beat) It's a good look for  you.
MARY ANN	You think?
RAY	Yeah.
MARY ANN	Take care of our kids.
RAY	Mary Ann, you got nothing to worry about.  Listen, you tell your mother that Ray  sends his love and kisses.
MARY ANN	(laughs) She'll love that.
ROBBIE	Baseball season's over.
RAY	Five minutes. It's not going to kill  you.
RAY	There he is. (Robbie puts on his new  cap) Boston? (hesitating) That's how  it is? (no response from Robbie) That's  how it's gonna be?
RAY	Careful with that throw.
ROBBIE	Whatever Ray!
RAY	Your mom says you've got a report due  on Monday, so you are going to work  on that when you're done here.
ROBBIE	Yeah, I'm almost finished, I just got  to type it up.
RAY	Yeah, bullshit!
ROBBIE	Yeah, and what do you know Ray?
RAY	Everything. Haven't you heard? Between  me and my brother, we know everything.
RACHEL	What's the capital of Australia?
RAY	That's one my brother knows.
ROBBIE	Is it okay with you if I just laugh  the first 500 times you tell that one.
RAY	Just do your report. We don't send you  to school so you can flunk out.
ROBBIE	You don't pay for it, Tim does.
RAY	That's half of what I've got.
ROBBIE	You're an asshole. I hate coming here.
RAY	That why you act like such a dick?
RAY	What?
RACHEL	That's not how you're going to get through  to him. You want him to listen to you...
RAY	(interrupts her) What are you? Your  mother or mine?
RACHEL	Where are you going?
RAY	To sleep. I work for a living.
RACHEL	What are we supposed to eat?
RAY	You know, order.
RAY	What's the matter?
RACHEL	I got a splinter.
RAY	Where'd you get it. Come here.
RACHEL	On your porch railing.
RAY	What, you want me to... (beat) You want  me to take that out for you?
RACHEL	Absolutely not!
RAY	Well, come here let me see it.
RAY	It's gonna get infected.
RACHEL	No it wont.
RAY	Yes, it's gonna get infected.
RACHEL	No, it won't. When it's ready, my body  will just push it out.
RAY	Push it out?
RACHEL	I read that. (as she sits back down)  You should get TiVo. Tim got it for  my room. It's awesome. I can watch all  my shows after homework.
RAY	Yeah, I'll just put that on my platinum  card. Robbie? (no response) Robbie?
RAY	(with the disgusting food in his mouth)  What is that?
RACHEL	Hummus.
RAY	Hummus?
RACHEL	From the health food place. I kept one  of their menus last time we were here.
RACHEL	Uh, you said order!
RAY	(laughs) I meant order food! Where is  Robbie?
RACHEL	He went out.
RAY	Out where?
RACHEL	I don't know. He just took your car  and left.
FRIEND 1	You ever see something like that?
RAY	(scratching his chin) In the springtime  maybe. Not this time of year. Come on,  we can see better from the back yard.
RAY	That is so weird.
FRIEND 2	What?
RAY	The wind is blowing toward the storm.
FRIEND 2	That is weird.
RAY	Rachel, wanna see something cool?
RAY	It's okay.
RACHEL	I want to go inside.
RAY	It's okay.
RACHEL	I want to go inside.
RAY	Okay, you go ahead.
FRIEND 2	That's enough weather for me. (begins  walking inside)
RACHEL	I don't want to go by myself.
RAY	Kind of fun, ain't it?
RACHEL	No.
RAY	Oh, Come on. It's like the fourth of  July.
RACHEL	No it's not.
RAY	It's okay. You're fine.
RACHEL	It hit right behind our house.
RAY	Yeah, well it's not gonna hit there  again because lighting doesn't strike  twice in the same place.
RAY	Oh, SHIT!
RACHEL	Where's Robbie?
RAY	I don't know.
RACHEL	Is Robbie okay? (no response) Are you  okay?
RAY	Where's the thunder?
RACHEL	Why won't it stop?
RACHEL	(with hesitation) Is it over?
RACHEL	Where are you going?
RAY	Just checking things out. Just wait,  wait there.
RACHEL	Are we going to be okay?
RAY	I don't know.
RACHEL	You don't know.
RAY	No. I meant... Rachel, please, just  stop asking so many questions. Just  wait here.
FRIEND 2	You believe this Ray? Every single car.
RAY	(worried) Oh, Jesus. Oh, Jesus.
ROBBIE	The car just stopped and...
RAY	(interrupts him) You're okay? Are you  okay?
ROBBIE	... and the lighting started hitting  about a block away over and over again.  And me and this other guy we...
RAY	(getting angry) Where the hell'd you  go?
ROBBIE	Over on Lincoln Avenue. (break) ...  by the church.
RAY	Did you see it? Did you... Were you  near it?
ROBBIE	Yeah. 26 times we counted! Over and  over the lighting started hitting. It  opened up this hole or something...
RAY	26 times?
ROBBIE	Yeah.
RAY	Okay, well, you're okay?
ROBBIE	Yeah.
RAY	Good, because your sister is in the  house, I want you to go in that house  and I want you to stay with her. Okay?  (break, as he starts running down the  street) And the next time you take my  car with no driver's license and no  permission, I call the cops. You better  be there when I get back.
RAY	Robbie. (snaps his hands together)
RAY	Manny! Manny! Hey Manny. What is it,  dead?
MANNY	All of them, everything, look at this...  (taps the starter motor) starter's fried.
RAY	Lightning hit it?
MANNY	Not even close. I thought if I changed  it... you got any idea what's going  on?
