Only God Forgives

BILLY	... I love violence!
JULIAN	Two fifty, three hundred...
JULIAN	You did well out there. You've got something, Liang. Potential, yeah?
JULIAN	Don't spend it all in once place.
JULIAN
JULIAN
JULIAN
JULIAN	He still in there?
THE LIZARD	... No.
JULIAN	You told him I was coming...
THE LIZARD	Wouldn't listen...
JULIAN	Well maybe you didn't try hard enough.
JULIAN	When was the last time you slept?
THE LIZARD	Just cause I ain't slept for three days, don't mean I don't know right from wrong... and your brother has become a real problem...
JULIAN	No.
THE LIZARD	Good - 'cause Billy ripped me off and then he broke my face...
GORDON	Like I always said. One day he's going to meet the devil.
JULIAN	You know where he is now?
THE LIZARD	Bangkok has millions of people my friend. You and your brother, you're lost to my world...
JULIAN	You go. I'm gonna look around. See if I can find him.
GORDON	Sure--?
JULIAN	Go on.
JULIAN	Which way'd he go?
THE LIZARD	His brother didn't pay.
GORDON	So? That's his problem.
THE LIZARD	Now it's your problem.
GORDON	I'm with you mate. Billy's fucked--
THE LIZARD	You don't pay his debt - you don't enter.
GORDON	How much...?
JULIAN	You seen Billy?
MA LONG	Not this evening.
JULIAN	Well if he comes in, tell him I'm looking for him, yeah?
MA LONG	He's not coming in. I tell him to stay away. He hurt one of my girls Julian. Not good...
JULIAN	Yeah, well... if you see him, tell him I'm looking for him...
DAENG	Who is that guy?
DAENG	Is he a cop?
PHAIBAN	He was...
CHANG	Is this your daughter? Yes.
CHANG	How could you? ... What?
CHANG	How could you let this happen? I didn't do anything.
CHANG	Well now's your chance.
CHANG	Do what thou will. You missed my turning. I live that way.
KIM	We'll get you there. I'm so sorry. Please. Please. Please don't hurt me. I'm so sorry.
CHANG	What are you sorry for? I thought... You were there. He killed my daughter. I thought you were letting me...
CHANG	Answer the question. What are you sorry for? I killed the Westerner?
CHANG	And why did you do that? He killed my daughter.
CHANG	And why did he do that?
CHANG	How old was she? Fifteen...
CHANG	You knew what she was doing and you did nothing. How else can we make money? Four daughters. No sons. What else could I do? What did you expect me to do? You have to have pity on me. My daughter's just been murdered.
CHANG	This isn't about her. This is about your other three daughters and making sure you don't forget them. I won't forget. I promise. Forgive me. I'll change. I'll be a better man.
CHANG	I know.
VOICE	I set off running to wake from the dream My brother's rifle went into the sheen I kept on running Into the south lands That's where they found me My head in my hands
CHANG	The sheriff he asked me Why I had run And then it came to me Just what I had done And all for no reason Just one piece of lead I hung my head I hung my head.
CHANG	So now that they've caught him... What are they going to do?
KANITA	Put him in jail.
CHANG	Come on. They haven't got a jail big enough. Look at the size of him.
KANITA	Keep him as a pet?
CHANG	But he blew down all their houses. Would you want to keep a pet that could do that?
KANITA	What if they just let him go?
CHANG	How could they be sure he wouldn't do it again?
KANITA	They could ask him...? Very nicely?
