1894	1
1897	2
1898	26
1899	12
1900	14
1901	9
1902	6
1903	12
1904	7
1905	19
1906	30
1907	15
1908	27
1909	98
1910	110
1911	174
1912	363
1913	691
1914	1160
1915	1644
1916	2097
1917	2183
1918	2242
1919	2437
1920	2653
1921	2597
1922	2178
1923	1905
1924	1926
1925	2047
1926	1953
1927	2051
1928	2043
1929	1905
1930	1880
1931	1977
1932	2032
1933	1939
1934	1868
1935	1917
1936	2194
1937	2115
1938	1981
1939	1863
1940	1744
1941	1526
1942	1466
1943	1330
1944	1171
1945	1121
1946	1314
1947	1492
1948	1591
1949	1750
1950	1910
1951	1833
1952	2020
1953	2071
1954	2096
1955	2141
1956	2312
1957	2424
1958	2474
1959	2504
1960	2660
1961	2706
1962	2698
1963	2673
1964	2890
1965	3162
1966	3166
1967	3235
1968	3650
1969	3760
1970	4039
1971	4026
1972	3873
1973	3816
1974	3721
1975	3897
1976	3808
1977	3761
1978	3892
1979	4023
1980	3956
1981	3974
1982	3925
1983	4105
1984	4238
1985	4346
1986	4253
1987	4279
1988	4423
1989	4426
1990	4688
1991	4260
1992	4216
1993	4077
1994	4033
1995	4267
1996	4162
1997	4454
1998	4573
1999	4752
2000	4917
2001	5249
2002	5487
2003	5559
2004	6203
2005	7034
2006	7550
2007	8223
2008	9619
2009	11226
2010	12070
2011	13082
2012	14069
2013	14899
2014	15911
2015	16531
